City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oranjestad,AW,85.95,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
2,Rikitea,PF,76.44,clear sky,-23.1203,-134.9692,People ThankYou
8,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
11,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Cockburn Town,TC,79.3,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
16,Puerto Leguizamo,CO,76.1,broken clouds,-0.1934,-74.7819,la casona de juancho
19,Conceicao Do Araguaia,BR,78.66,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
22,Castro,BR,75.63,clear sky,-24.7911,-50.0119,CHACARA BAILLY
26,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Atuona,PF,78.6,clear sky,-9.8,-139.0333,Villa Enata
34,Malpe,IN,76.3,light rain,13.35,74.7167,Hotel Sri Krishna Residency
38,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
41,Kahului,US,80.96,light rain,20.8947,-156.47,Maui Seaside Hotel
44,Omboue,GA,77.83,overcast clouds,-1.5746,9.2618,Hotel Olako
45,Meulaboh,ID,75.61,broken clouds,4.1363,96.1285,Kost Pria
48,San Ignacio,BZ,84.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
49,Tulum,MX,78.93,broken clouds,20.2167,-87.4667,Kin Ha Tulum
54,Senanga,ZM,79.2,overcast clouds,-16.1167,23.2667,Zango lodge
56,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
57,Bama,NG,78.69,few clouds,11.5221,13.6856,UN Humanitarian Hub
64,Castanos,MX,75.34,broken clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
67,Kavaratti,IN,81.32,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
72,Odienne,CI,80.53,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
74,Arraial Do Cabo,BR,76.96,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
79,Manacapuru,BR,84.78,moderate rain,-3.2997,-60.6206,Novo Hotel
