City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,"2021, 11, 29 23:04:39",42.6001,-73.9662,31.17,68,58,1.99
1,Umm Kaddadah,SD,"2021, 11, 29 23:04:39",13.6017,26.6876,76.91,38,23,12.46
2,Cofradia,HN,"2021, 11, 29 23:04:40",15.4,-88.15,76.08,87,31,2.28
3,Punta Arenas,CL,"2021, 11, 29 23:01:33",-53.15,-70.9167,51.12,43,95,19.06
4,Kapaa,US,"2021, 11, 29 23:04:40",22.0752,-159.319,84.18,67,40,5.99
5,Ulladulla,AU,"2021, 11, 29 23:04:41",-35.35,150.4667,70.88,68,67,6.08
6,Ushuaia,AR,"2021, 11, 29 23:01:37",-54.8,-68.3,43.92,58,23,8.03
7,Rikitea,PF,"2021, 11, 29 23:04:41",-23.1203,-134.9692,76.46,76,2,21.07
8,Busselton,AU,"2021, 11, 29 23:04:42",-33.65,115.3333,59.04,58,43,10.13
9,Mataura,NZ,"2021, 11, 29 23:01:16",-46.1927,168.8643,58.48,53,98,4.5
10,Puerto Narino,CO,"2021, 11, 29 23:04:42",-3.7703,-70.3831,78.75,97,98,2.51
11,Zhezkazgan,KZ,"2021, 11, 29 23:04:43",47.8043,67.7144,21.09,89,100,2.04
12,Aktash,RU,"2021, 11, 29 23:04:43",50.3,87.7333,0.61,81,52,3.83
13,Necochea,AR,"2021, 11, 29 23:00:05",-38.5473,-58.7368,60.04,81,9,13.33
14,Namatanai,PG,"2021, 11, 29 23:02:31",-3.6667,152.4333,84.79,67,93,11.52
15,Saskylakh,RU,"2021, 11, 29 23:04:44",71.9167,114.0833,-25.65,100,94,4.07
16,Kutum,SD,"2021, 11, 29 23:04:44",14.2,24.6667,69.13,40,64,8.41
17,Atuona,PF,"2021, 11, 29 23:04:45",-9.8,-139.0333,78.98,76,21,22.32
18,Hermanus,ZA,"2021, 11, 29 23:04:45",-34.4187,19.2345,61.9,76,36,7.61
19,Almaznyy,RU,"2021, 11, 29 23:04:45",48.0448,40.045,53.74,89,100,28.03
20,Bluff,NZ,"2021, 11, 29 23:04:46",-46.6,168.3333,58.8,74,100,6.87
21,Sistranda,NO,"2021, 11, 29 23:04:46",63.7256,8.834,27.9,63,100,14.99
22,Hudson Bay,CA,"2021, 11, 29 23:04:47",52.85,-102.3842,31.64,89,18,9.31
23,Hay River,CA,"2021, 11, 29 23:04:47",60.8156,-115.7999,-12.91,95,28,5.53
24,Pisco,PE,"2021, 11, 29 23:04:48",-13.7,-76.2167,68.05,73,0,19.57
25,Jamestown,US,"2021, 11, 29 23:04:48",42.097,-79.2353,33.12,86,90,10.36
26,Tiznit,MA,"2021, 11, 29 23:04:39",29.5833,-9.5,55.96,43,0,1.41
27,Goundi,TD,"2021, 11, 29 23:04:49",9.3627,17.366,78.1,26,44,2.24
28,Portland,US,"2021, 11, 29 23:04:28",45.5234,-122.6762,61.38,91,90,1.01
29,Carnarvon,AU,"2021, 11, 29 23:04:49",-24.8667,113.6333,70.9,72,0,22.59
30,Qaanaaq,GL,"2021, 11, 29 23:04:50",77.484,-69.3632,10.17,61,100,6.06
31,Poros,GR,"2021, 11, 29 23:04:50",37.4994,23.4536,64.62,65,5,32.41
32,Tuktoyaktuk,CA,"2021, 11, 29 23:04:51",69.4541,-133.0374,-15.18,96,100,12.91
33,Pevek,RU,"2021, 11, 29 23:04:51",69.7008,170.3133,-3.53,100,97,2.68
34,Tiksi,RU,"2021, 11, 29 23:04:51",71.6872,128.8694,-22.43,100,95,6.06
35,Saraland,US,"2021, 11, 29 23:04:52",30.8207,-88.0706,57.51,54,0,4.9
36,Vaini,TO,"2021, 11, 29 23:04:52",-21.2,-175.2,84.36,70,20,9.22
37,Xinzhi,CN,"2021, 11, 29 23:04:53",36.4989,111.7047,33.67,38,0,18.07
38,Yabassi,CM,"2021, 11, 29 23:04:53",4.457,9.9682,75.88,93,87,0.87
39,Bredasdorp,ZA,"2021, 11, 29 23:04:53",-34.5322,20.0403,59.29,70,50,4.88
40,Nemuro,JP,"2021, 11, 29 23:04:54",43.3236,145.575,45.34,82,68,4.56
41,Kaitangata,NZ,"2021, 11, 29 23:04:54",-46.2817,169.8464,62.92,56,100,5.75
42,Tyret Pervaya,RU,"2021, 11, 29 23:04:55",53.6703,102.3106,19.98,96,100,4.7
43,Chuy,UY,"2021, 11, 29 23:04:55",-33.6971,-53.4616,65.17,93,100,18.03
44,Georgetown,MY,"2021, 11, 29 23:04:56",5.4112,100.3354,75.13,98,40,0.0
45,Gamba,GA,"2021, 11, 29 23:04:56",-2.65,10.0,77.4,90,100,6.42
46,Klaksvik,FO,"2021, 11, 29 23:05:57",62.2266,-6.589,34.72,58,100,15.35
47,Hamilton,US,"2021, 11, 29 23:05:57",39.1834,-84.5333,42.76,40,75,1.99
48,Russell,US,"2021, 11, 29 23:03:33",32.3502,-85.1999,53.2,40,1,0.0
49,Saldanha,ZA,"2021, 11, 29 23:05:58",-33.0117,17.9442,61.2,85,27,3.76
50,Nikolskoye,RU,"2021, 11, 29 23:01:36",59.7035,30.7861,25.39,95,100,10.67
51,Bambous Virieux,MU,"2021, 11, 29 23:05:58",-20.3428,57.7575,74.21,72,1,5.75
52,Larsnes,NO,"2021, 11, 29 23:05:59",62.2028,5.5773,34.0,92,100,3.6
53,Vestmannaeyjar,IS,"2021, 11, 29 23:05:59",63.4427,-20.2734,35.2,91,100,25.99
54,Hobart,AU,"2021, 11, 29 23:04:09",-42.8794,147.3294,67.26,58,20,1.99
55,East London,ZA,"2021, 11, 29 23:06:00",-33.0153,27.9116,68.86,87,56,4.83
56,Green River,US,"2021, 11, 29 23:06:01",41.5286,-109.4662,58.15,41,7,9.53
57,Asau,RO,"2021, 11, 29 23:06:01",46.4333,26.4,35.76,84,31,4.68
58,Opuwo,NA,"2021, 11, 29 23:06:01",-18.0607,13.84,70.81,28,80,3.11
59,Cape Town,ZA,"2021, 11, 29 23:06:02",-33.9258,18.4232,65.08,73,40,6.73
60,Piranhas,BR,"2021, 11, 29 23:06:02",-16.4269,-51.8222,74.95,90,87,2.08
61,Avarua,CK,"2021, 11, 29 23:06:02",-21.2078,-159.775,80.65,61,20,13.8
62,Mayor Pablo Lagerenza,PY,"2021, 11, 29 23:06:03",-19.9309,-60.7718,72.97,69,100,3.02
63,Flinders,AU,"2021, 11, 29 23:02:47",-34.5833,150.8552,71.06,76,93,1.01
64,Moctezuma,MX,"2021, 11, 29 23:02:59",29.8,-109.6667,78.04,26,3,0.69
65,Tual,ID,"2021, 11, 29 23:06:04",-5.6667,132.75,83.77,69,98,2.13
66,Grindavik,IS,"2021, 11, 29 23:06:04",63.8424,-22.4338,36.07,87,90,12.66
67,Egra,CZ,"2021, 11, 29 23:06:04",50.0796,12.3739,33.33,89,95,9.08
68,Spirit River,CA,"2021, 11, 29 23:06:05",55.7833,-118.8361,26.74,89,69,5.12
69,Sisimiut,GL,"2021, 11, 29 23:06:05",66.9395,-53.6735,31.26,87,100,10.85
70,Bilibino,RU,"2021, 11, 29 23:05:41",68.0546,166.4372,-10.41,99,94,5.39
71,Armidale,AU,"2021, 11, 29 23:06:06",-30.5167,151.65,65.8,84,96,6.38
72,Jasper,US,"2021, 11, 29 23:05:35",37.2001,-94.3502,60.85,44,1,8.05
73,Kodiak,US,"2021, 11, 29 23:06:06",57.79,-152.4072,36.91,87,90,19.57
74,Ribeira Grande,PT,"2021, 11, 29 23:06:07",38.5167,-28.7,62.2,59,24,5.61
75,Naze,JP,"2021, 11, 29 23:06:07",28.3667,129.4833,67.32,73,76,13.62
76,Dongsheng,CN,"2021, 11, 29 23:06:08",39.8161,109.9776,16.21,55,3,13.56
77,Hilo,US,"2021, 11, 29 23:06:08",19.7297,-155.09,76.73,71,1,3.44
78,Isangel,VU,"2021, 11, 29 23:02:58",-19.55,169.2667,83.77,69,10,1.59
79,Gokul,IN,"2021, 11, 29 23:06:09",27.45,77.7167,60.17,35,84,6.51
80,Americus,US,"2021, 11, 29 23:06:09",32.0724,-84.2327,52.61,29,0,7.09
81,Caranavi,BO,"2021, 11, 29 23:06:09",-15.8167,-67.55,65.39,98,100,1.01
82,Upington,ZA,"2021, 11, 29 23:06:10",-28.4478,21.2561,70.27,34,36,13.85
83,Balti,MD,"2021, 11, 29 23:06:10",47.7617,27.9289,34.65,69,32,14.9
84,Kahului,US,"2021, 11, 29 23:06:11",20.8947,-156.47,82.42,67,20,14.97
85,Kamaishi,JP,"2021, 11, 29 23:06:11",39.2667,141.8833,34.75,71,94,7.38
86,Kruisfontein,ZA,"2021, 11, 29 23:06:12",-34.0033,24.7314,60.89,85,1,6.04
87,Wisconsin Rapids,US,"2021, 11, 29 23:06:12",44.3836,-89.8174,38.44,61,75,3.44
88,Klyuchi,RU,"2021, 11, 29 23:06:12",52.2667,79.1667,15.84,84,100,7.72
89,Barrow,US,"2021, 11, 29 23:02:26",71.2906,-156.7887,-18.38,69,40,9.22
90,Tikapur,NP,"2021, 11, 29 23:06:13",28.5,81.1333,63.03,75,97,3.29
91,Helena,US,"2021, 11, 29 23:04:27",46.5927,-112.0361,50.31,60,1,15.99
92,Khatanga,RU,"2021, 11, 29 23:06:14",71.9667,102.5,-30.66,100,97,3.76
93,College,US,"2021, 11, 29 23:07:14",64.8569,-147.8028,-7.78,72,75,0.0
94,Augusta,DE,"2021, 11, 29 23:07:14",48.3667,10.8833,33.1,86,90,12.66
95,Roura,GF,"2021, 11, 29 23:07:15",4.7263,-52.3274,79.97,94,75,3.44
96,New Norfolk,AU,"2021, 11, 29 23:07:15",-42.7826,147.0587,67.71,42,17,3.0
97,Port Alfred,ZA,"2021, 11, 29 23:07:16",-33.5906,26.891,68.05,89,90,6.78
98,Shiyan,CN,"2021, 11, 29 23:07:16",32.6475,110.7781,37.4,82,0,5.59
99,Krasnogorskoye,RU,"2021, 11, 29 23:07:16",52.2953,86.1979,10.8,96,82,3.24
100,Bermeo,ES,"2021, 11, 29 23:07:17",43.4209,-2.7215,52.0,90,100,0.54
101,Hanna,CA,"2021, 11, 29 23:07:17",51.6334,-111.9018,36.48,63,13,3.89
102,Alofi,NU,"2021, 11, 29 23:07:18",-19.0595,-169.9187,84.09,54,40,13.8
103,San Policarpo,PH,"2021, 11, 29 23:07:18",12.1791,125.5072,81.16,81,100,4.05
104,Kavaratti,IN,"2021, 11, 29 23:07:18",10.5669,72.642,81.3,77,93,11.74
105,Cabedelo,BR,"2021, 11, 29 23:07:19",-6.9811,-34.8339,81.27,75,52,11.83
106,Castro,BR,"2021, 11, 29 23:07:19",-24.7911,-50.0119,67.57,88,34,6.15
107,Ostrovnoy,RU,"2021, 11, 29 23:05:26",68.0531,39.5131,8.15,74,80,5.86
108,Port Elizabeth,ZA,"2021, 11, 29 23:07:20",-33.918,25.5701,63.1,87,5,8.93
109,Lompoc,US,"2021, 11, 29 23:07:20",34.6391,-120.4579,86.02,52,1,13.8
110,Laguna,US,"2021, 11, 29 23:07:20",38.421,-121.4238,73.96,58,1,1.01
111,Bulgan,MN,"2021, 11, 29 23:07:21",48.8125,103.5347,10.04,86,90,3.49
112,Upernavik,GL,"2021, 11, 29 23:07:21",72.7868,-56.1549,21.72,96,100,4.38
113,Taoudenni,ML,"2021, 11, 29 23:07:22",22.6783,-3.9836,64.35,12,59,16.71
114,Puerto Ayora,EC,"2021, 11, 29 23:07:22",-0.7393,-90.3518,70.56,91,74,4.0
115,Coquimbo,CL,"2021, 11, 29 23:07:22",-29.9533,-71.3436,60.53,77,75,10.36
116,Mar Del Plata,AR,"2021, 11, 29 23:07:04",-38.0023,-57.5575,59.88,91,8,13.0
117,Mount Isa,AU,"2021, 11, 29 23:07:23",-20.7333,139.5,85.77,21,16,9.22
118,Shenjiamen,CN,"2021, 11, 29 23:07:24",29.9576,122.298,55.11,78,79,32.57
119,Lavrentiya,RU,"2021, 11, 29 23:07:24",65.5833,-171.0,-11.33,91,5,8.55
120,Cherskiy,RU,"2021, 11, 29 23:07:24",68.75,161.3,-15.3,98,100,6.87
121,Yulara,AU,"2021, 11, 29 23:07:25",-25.2406,130.9889,80.44,22,0,4.61
122,Kasangulu,CD,"2021, 11, 29 23:07:25",-4.5911,15.1708,71.49,94,83,1.3
123,Cracow,US,"2021, 11, 29 23:07:26",43.7424,-82.8199,32.25,100,40,0.0
124,Ancud,CL,"2021, 11, 29 23:07:26",-41.8697,-73.8203,61.43,69,27,1.28
125,Nanakuli,US,"2021, 11, 29 23:07:26",21.3906,-158.1547,78.75,78,90,10.36
126,Dikson,RU,"2021, 11, 29 23:02:36",73.5069,80.5464,-14.37,96,100,15.59
127,Atar,MR,"2021, 11, 29 23:03:10",20.5169,-13.0499,64.11,27,15,9.19
128,Padang,ID,"2021, 11, 29 23:04:43",-0.9492,100.3543,75.25,87,66,2.8
129,Bengkulu,ID,"2021, 11, 29 23:02:51",-3.8004,102.2655,74.08,86,98,8.99
130,Ahipara,NZ,"2021, 11, 29 23:07:28",-35.1667,173.1667,70.47,59,13,6.08
131,Fethiye,TR,"2021, 11, 29 23:06:45",36.6217,29.1164,69.67,87,100,8.72
132,Kawalu,ID,"2021, 11, 29 23:07:28",-7.3817,108.2082,72.45,92,90,0.83
133,Kudahuvadhoo,MV,"2021, 11, 29 23:07:29",2.6708,72.8944,81.95,76,97,15.99
134,Kihei,US,"2021, 11, 29 23:03:35",20.785,-156.4656,82.42,67,20,14.97
135,Bandarbeyla,SO,"2021, 11, 29 23:07:30",9.4942,50.8122,77.38,69,20,18.16
136,Picota,PE,"2021, 11, 29 23:07:30",-6.9197,-76.3304,82.89,72,96,3.04
137,Saint George,US,"2021, 11, 29 23:07:30",37.1041,-113.5841,79.27,21,1,1.99
138,Kon Tum,VN,"2021, 11, 29 23:07:31",14.35,108.0,67.82,98,100,3.67
139,Ugoofaaru,MV,"2021, 11, 29 23:08:31",5.6667,73.0,78.51,85,100,10.2
140,Anadyr,RU,"2021, 11, 29 23:08:32",64.75,177.4833,-7.1,84,40,2.24
141,Ponta Do Sol,PT,"2021, 11, 29 23:08:32",32.6667,-17.1,63.72,68,35,4.21
142,Nyuksenitsa,RU,"2021, 11, 29 23:08:33",60.4128,44.2397,21.11,92,100,11.18
143,Constitucion,CL,"2021, 11, 29 23:08:33",-35.3333,-72.4167,58.57,76,4,15.9
144,Yining,CN,"2021, 11, 29 23:08:34",29.0361,114.5636,45.54,71,71,4.09
145,Sambava,MG,"2021, 11, 29 23:08:34",-14.2667,50.1667,75.67,83,41,6.44
146,Kavieng,PG,"2021, 11, 29 23:08:34",-2.5744,150.7967,84.6,71,100,17.45
147,Pampierstad,ZA,"2021, 11, 29 23:08:35",-27.7832,24.6877,74.3,41,76,8.88
148,Bonthe,SL,"2021, 11, 29 23:08:35",7.5264,-12.505,79.83,82,100,8.03
149,Severo-Kurilsk,RU,"2021, 11, 29 23:08:36",50.6789,156.125,32.32,70,93,32.55
150,Lebu,CL,"2021, 11, 29 23:08:36",-37.6167,-73.65,55.35,81,85,18.39
151,Souillac,MU,"2021, 11, 29 23:08:36",-20.5167,57.5167,74.35,73,0,5.53
152,Tasiilaq,GL,"2021, 11, 29 23:08:37",65.6145,-37.6368,23.16,92,100,9.35
153,Cockburn Town,TC,"2021, 11, 29 23:08:37",21.4612,-71.1419,75.16,83,75,2.3
154,Progreso,MX,"2021, 11, 29 23:08:38",21.2833,-89.6667,80.71,77,99,14.05
155,Dunedin,NZ,"2021, 11, 29 23:07:02",-45.8742,170.5036,63.1,62,83,8.19
156,Norman Wells,CA,"2021, 11, 29 23:08:38",65.282,-126.8329,-24.88,98,20,1.43
157,Ixtapa,MX,"2021, 11, 29 23:08:38",20.7,-105.2,82.22,69,1,10.36
158,Cantagallo,CO,"2021, 11, 29 23:08:39",7.376,-73.9196,77.86,93,98,1.5
159,Neka,IR,"2021, 11, 29 23:08:39",36.6508,53.299,57.18,56,1,6.11
160,The Valley,AI,"2021, 11, 29 23:08:40",18.217,-63.0578,82.26,83,40,9.22
161,Henties Bay,NA,"2021, 11, 29 23:08:40",-22.116,14.2845,59.86,92,0,6.04
162,Nanortalik,GL,"2021, 11, 29 23:08:41",60.1432,-45.2371,33.39,99,100,16.2
163,Cody,US,"2021, 11, 29 23:08:03",44.5263,-109.0565,57.42,31,1,10.36
164,Beroroha,MG,"2021, 11, 29 23:08:41",-21.6667,45.1667,75.16,63,8,0.83
165,Sitka,US,"2021, 11, 29 23:08:42",57.0531,-135.33,39.09,65,90,23.02
166,Geraldton,AU,"2021, 11, 29 23:08:42",-28.7667,114.6,65.12,63,40,12.66
167,Bonavista,CA,"2021, 11, 29 23:08:43",48.6499,-53.1147,43.12,86,84,10.47
168,Celestun,MX,"2021, 11, 29 23:08:43",20.8667,-90.4,77.65,76,82,15.08
169,Lincoln,US,"2021, 11, 29 23:04:36",40.8,-96.667,65.17,40,1,4.61
170,Mahebourg,MU,"2021, 11, 29 23:08:44",-20.4081,57.7,74.25,72,0,5.61
171,Mali,GN,"2021, 11, 29 23:08:44",12.079,-12.2982,65.01,26,78,1.66
172,Maceio,BR,"2021, 11, 29 23:08:45",-9.6658,-35.7353,81.84,78,0,8.05
173,Koshurnikovo,RU,"2021, 11, 29 23:08:45",54.1667,93.3,8.53,97,100,2.71
174,Bundaberg,AU,"2021, 11, 29 23:08:45",-24.85,152.35,76.41,85,98,9.06
175,Camacha,PT,"2021, 11, 29 23:08:46",33.0833,-16.3333,60.22,72,40,5.75
176,Jawhar,SO,"2021, 11, 29 23:08:46",2.7809,45.5005,75.33,84,16,9.48
177,Viedma,AR,"2021, 11, 29 23:08:47",-40.8135,-62.9967,64.29,44,1,10.16
178,Margate,GB,"2021, 11, 29 23:08:47",51.3813,1.3862,40.96,80,82,1.99
179,Marion,US,"2021, 11, 29 23:08:47",39.7684,-86.1555,43.34,40,75,13.8
180,Belaya Gora,RU,"2021, 11, 29 23:05:52",68.5333,146.4167,-10.37,99,100,5.48
181,Kimbe,PG,"2021, 11, 29 23:08:48",-5.5502,150.1429,80.91,85,100,1.74
182,Marawi,PH,"2021, 11, 29 23:08:48",7.9986,124.2928,67.64,91,71,1.52
183,Yeppoon,AU,"2021, 11, 29 23:08:49",-23.1333,150.7333,78.58,76,55,9.89
184,Torbay,CA,"2021, 11, 29 23:09:49",47.6666,-52.7314,42.67,91,87,1.01
185,Cangucu,BR,"2021, 11, 29 23:08:26",-31.395,-52.6756,66.02,67,24,13.58
186,Longyearbyen,SJ,"2021, 11, 29 23:09:50",78.2186,15.6401,5.02,78,22,7.05
187,Port Hedland,AU,"2021, 11, 29 23:09:50",-20.3167,118.5667,80.65,83,0,8.05
188,Alexander City,US,"2021, 11, 29 23:09:50",32.944,-85.9539,49.78,27,1,3.44
189,Srednekolymsk,RU,"2021, 11, 29 23:09:51",67.45,153.6833,-19.34,98,100,5.41
190,Mariestad,SE,"2021, 11, 29 23:09:51",58.7097,13.8237,18.07,94,62,5.55
191,Esperance,AU,"2021, 11, 29 23:09:52",-33.8667,121.9,59.61,64,100,11.97
192,Bethel,US,"2021, 11, 29 23:09:52",41.3712,-73.414,37.56,71,75,1.01
193,Aklavik,CA,"2021, 11, 29 23:09:53",68.2191,-135.0107,-30.75,92,40,3.2
194,Poum,NC,"2021, 11, 29 23:09:53",-20.2333,164.0167,81.52,78,14,14.9
195,Hazorasp,UZ,"2021, 11, 29 23:09:54",41.3194,61.0742,33.64,64,7,7.56
196,Baculin,PH,"2021, 11, 29 23:09:54",7.4525,126.5842,80.06,78,97,5.03
197,Sorong,ID,"2021, 11, 29 23:05:24",-0.8833,131.25,80.92,82,99,5.5
198,Fortuna,US,"2021, 11, 29 23:09:55",40.5982,-124.1573,60.42,92,1,4.0
199,Shimoda,JP,"2021, 11, 29 23:09:55",34.6667,138.95,56.95,70,17,6.55
200,Svetlogorsk,BY,"2021, 11, 29 23:09:55",52.6333,29.7333,36.37,95,100,17.65
201,Saint-Philippe,RE,"2021, 11, 29 23:09:56",-21.3585,55.7679,74.75,86,62,7.92
202,Fort Nelson,CA,"2021, 11, 29 23:09:56",58.8053,-122.7002,13.64,95,87,2.95
203,Ust-Maya,RU,"2021, 11, 29 23:09:57",60.4167,134.5333,-12.66,100,99,1.59
204,Touros,BR,"2021, 11, 29 23:09:57",-5.1989,-35.4608,81.5,76,12,12.77
205,Omboue,GA,"2021, 11, 29 23:09:58",-1.5746,9.2618,77.32,91,100,8.08
206,Mayna,RU,"2021, 11, 29 23:09:58",54.1135,47.6231,36.37,94,100,20.62
207,Talnakh,RU,"2021, 11, 29 23:09:58",69.4865,88.3972,-11.79,95,100,5.28
208,Enshi,CN,"2021, 11, 29 23:08:41",30.3,109.4833,40.93,89,2,2.19
209,Ratodero,PK,"2021, 11, 29 23:09:59",27.803,68.2871,60.82,29,0,5.14
210,Biak,ID,"2021, 11, 29 23:09:59",-0.9131,122.8766,76.93,83,97,1.36
211,Richards Bay,ZA,"2021, 11, 29 23:10:00",-28.783,32.0377,70.97,92,34,5.95
212,Esso,RU,"2021, 11, 29 23:10:00",55.9333,158.7,11.16,90,100,2.28
213,Gramsh,AL,"2021, 11, 29 23:10:00",40.8697,20.1844,43.0,97,100,1.92
214,Farmington,US,"2021, 11, 29 23:10:01",36.7281,-108.2187,61.86,30,1,8.05
215,Wattegama,LK,"2021, 11, 29 23:10:01",6.7989,81.4808,72.39,95,30,2.19
216,Dawlatabad,AF,"2021, 11, 29 23:10:02",36.4141,64.9053,53.82,42,62,3.91
217,Las Palmas,ES,"2021, 11, 29 23:10:02",28.4204,-14.0131,61.59,68,20,20.71
218,Butaritari,KI,"2021, 11, 29 23:10:02",3.0707,172.7902,81.39,80,64,10.54
219,Praia,CV,"2021, 11, 29 23:10:03",14.9215,-23.5087,74.88,68,100,19.35
220,Westport,US,"2021, 11, 29 23:06:17",41.1415,-73.3579,39.74,73,1,1.01
221,Johor Bahru,MY,"2021, 11, 29 23:10:03",1.4655,103.7578,78.71,83,75,1.14
222,Roald,NO,"2021, 11, 29 23:10:04",62.5833,6.1333,32.92,100,90,4.61
223,Mykolayivka,UA,"2021, 11, 29 23:10:04",47.5414,30.7561,41.9,71,98,12.37
224,Huarmey,PE,"2021, 11, 29 23:07:41",-10.0681,-78.1522,68.34,82,41,9.57
225,Hithadhoo,MV,"2021, 11, 29 23:10:05",-0.6,73.0833,81.14,79,70,14.07
226,Nouadhibou,MR,"2021, 11, 29 23:10:05",20.931,-17.0347,66.22,69,78,22.46
227,Jiexiu,CN,"2021, 11, 29 23:10:06",37.0244,111.9125,28.87,45,0,9.24
228,Barzas,RU,"2021, 11, 29 23:10:06",55.7167,86.3167,10.63,88,99,7.83
229,Kirs,RU,"2021, 11, 29 23:11:07",59.3388,52.2447,33.22,99,100,8.14
230,Bathsheba,BB,"2021, 11, 29 23:11:07",13.2167,-59.5167,81.21,74,20,14.97
231,Puerto Madryn,AR,"2021, 11, 29 23:11:07",-42.7692,-65.0385,61.74,55,2,16.26
232,Zhigansk,RU,"2021, 11, 29 23:11:08",66.7697,123.3711,-16.17,98,100,2.17
233,Aloleng,PH,"2021, 11, 29 23:11:08",16.1307,119.7824,80.6,83,100,6.24
234,Brzeg Dolny,PL,"2021, 11, 29 23:11:09",51.273,16.7082,36.72,93,99,13.27
235,Diego De Almagro,CL,"2021, 11, 29 23:11:09",-26.3667,-70.05,69.03,28,0,7.07
236,Vilyuysk,RU,"2021, 11, 29 23:11:09",63.7553,121.6247,-10.43,98,100,2.17
237,Lubumbashi,CD,"2021, 11, 29 23:11:10",-11.6609,27.4794,68.36,70,94,3.69
238,Fairbanks,US,"2021, 11, 29 23:10:47",64.8378,-147.7164,-7.76,71,75,0.0
239,Codrington,AU,"2021, 11, 29 23:11:10",-38.2667,141.9667,75.65,34,0,8.03
240,Novikovo,RU,"2021, 11, 29 23:11:11",51.1537,37.8879,52.47,85,100,21.97
241,Tottori,JP,"2021, 11, 29 23:11:06",35.5,134.2333,50.43,78,41,10.33
242,Hasaki,JP,"2021, 11, 29 23:11:11",35.7333,140.8333,36.0,62,22,5.95
243,Igarka,RU,"2021, 11, 29 23:06:28",67.4667,86.5833,-0.63,97,100,11.81
244,Seoul,KR,"2021, 11, 29 23:07:51",37.5683,126.9778,45.84,85,100,6.51
245,Wanning,CN,"2021, 11, 29 23:11:12",18.8003,110.3967,66.74,83,16,10.65
246,Sioux Lookout,CA,"2021, 11, 29 23:11:12",50.1001,-91.917,21.06,99,98,2.86
247,Hasilpur,PK,"2021, 11, 29 23:11:13",29.7122,72.5553,60.33,33,0,4.81
248,Narsaq,GL,"2021, 11, 29 23:11:13",60.9167,-46.05,34.02,99,100,9.28
249,Moron,AR,"2021, 11, 29 23:11:14",-34.6534,-58.6198,73.15,56,10,1.99
250,Lakeway,US,"2021, 11, 29 23:11:14",30.3638,-97.9796,69.93,47,2,1.99
251,Bushehr,IR,"2021, 11, 29 23:11:14",28.9684,50.8385,71.24,50,0,5.53
252,Umm Lajj,SA,"2021, 11, 29 23:11:15",25.0213,37.2685,83.41,33,0,9.64
253,Suntar,RU,"2021, 11, 29 23:11:15",62.1444,117.6319,-11.4,99,100,1.25
254,Bambanglipuro,ID,"2021, 11, 29 23:11:16",-7.95,110.2833,76.01,84,76,1.41
255,Mountain Home,US,"2021, 11, 29 23:08:23",43.133,-115.6912,51.21,71,20,12.66
256,Cabanas,CU,"2021, 11, 29 23:11:16",22.9758,-82.9219,72.07,69,85,12.3
257,Lethbridge,CA,"2021, 11, 29 23:09:13",49.7,-112.8186,51.1,41,83,3.8
258,Komsomolskiy,UZ,"2021, 11, 29 23:11:17",40.4272,71.7189,35.02,40,50,1.34
259,Maniitsoq,GL,"2021, 11, 29 23:11:17",65.4167,-52.9,34.16,85,100,17.11
260,Yellowknife,CA,"2021, 11, 29 23:11:18",62.456,-114.3525,-13.45,82,8,3.0
261,Tuatapere,NZ,"2021, 11, 29 23:11:18",-46.1333,167.6833,58.82,64,100,6.29
262,Sao Filipe,CV,"2021, 11, 29 23:11:18",14.8961,-24.4956,75.6,68,97,13.73
263,Airai,TL,"2021, 11, 29 23:11:19",-8.9266,125.4092,63.46,77,100,1.86
264,Saint-Georges,GD,"2021, 11, 29 23:07:59",12.0564,-61.7485,80.28,78,20,10.36
265,Thompson,CA,"2021, 11, 29 23:11:19",55.7435,-97.8558,29.61,94,94,10.94
266,Pangnirtung,CA,"2021, 11, 29 23:11:20",66.1451,-65.7125,19.02,93,100,4.5
267,Hofn,IS,"2021, 11, 29 23:11:20",64.2539,-15.2082,26.73,90,100,11.01
268,Humaita,BR,"2021, 11, 29 23:11:20",-7.5061,-63.0208,82.4,73,99,2.06
269,Maryville,US,"2021, 11, 29 23:10:56",35.7565,-83.9705,43.29,52,40,1.01
270,Winneba,GH,"2021, 11, 29 23:11:21",5.3511,-0.6231,79.66,83,49,7.85
271,Rio Grande,BR,"2021, 11, 29 23:11:21",-32.035,-52.0986,68.63,74,97,24.07
272,Chengde,CN,"2021, 11, 29 23:11:22",40.9725,117.9361,28.54,52,21,10.33
273,Luwuk,ID,"2021, 11, 29 23:11:22",-0.9516,122.7875,78.76,84,97,0.92
274,Victoria,HK,"2021, 11, 29 23:08:05",22.2855,114.1577,71.33,70,1,1.01
275,New Glasgow,CA,"2021, 11, 29 23:11:23",45.5834,-62.6486,50.79,93,100,14.16
